KEV,INTENSITY
4.13278,1.55095
4.14019,1.53732
4.14759,1.54898
4.15500,1.51216
4.16241,1.49709
4.16981,1.43502
4.17722,1.473
4.18463,1.44367
4.19203,1.433
4.19944,1.44958
4.20684,1.38269
4.21425,1.43229
4.22166,1.34552
4.22906,1.33111
4.23647,1.33559
4.24388,1.3896
4.25128,1.43448
4.25869,1.39803
4.26610,1.41029
4.27350,1.35226
4.28091,1.38927
4.28832,1.43463
4.29572,1.479
4.30313,1.49502
4.31053,1.51287
4.31794,1.48421
4.32535,1.56303
4.33275,1.54429
4.34016,1.56423
4.34757,1.6074
4.35497,1.6802
4.36238,1.65811
4.36979,1.6972
4.37719,1.70479
4.38460,1.73684
4.39201,1.77052
4.39941,1.77956
4.40682,1.82389
4.41422,1.82414
4.42163,1.83069
4.42904,1.87274
4.43644,1.88362
4.44385,1.89601
4.45126,1.8915
4.45866,1.93608
4.46607,1.91447
4.47348,1.96397
4.48088,1.91201
4.48829,1.97204
4.49570,1.96552
4.50310,1.97196
4.51051,1.97602
4.51791,1.94103
4.52532,1.94901
4.53273,1.96612
4.54013,1.95877
4.54754,1.96205
4.55495,1.94598
4.56235,1.96079
4.56976,1.94762
4.57717,1.92755
4.58457,1.91477
4.59198,1.91706
4.59939,1.86108
4.60679,1.87334
4.61420,1.85154
4.62160,1.85387
4.62901,1.80439
4.63642,1.79213
4.64382,1.80459
4.65123,1.77075
4.65864,1.6997
4.66604,1.68817
4.67345,1.74228
4.68086,1.70831
4.68826,1.65188
4.69567,1.64017
4.70307,1.62675
4.71048,1.56382
4.71789,1.54097
4.72529,1.54978
4.73270,1.49461
4.74011,1.43635
4.74751,1.39888
4.75492,1.46237
4.76233,1.48185
4.76973,1.46865
4.77714,1.48217
4.78455,1.4632
4.79195,1.43924
4.79936,1.47022
4.80676,1.47174
4.81417,1.44229
4.82158,1.45229
4.82898,1.48224
4.83639,1.40385
4.84380,1.47835
4.85120,1.46354
4.85861,1.4703
4.86602,1.47102
4.87342,1.42387
4.88083,1.46563
4.88824,1.48119
4.89564,1.43447
4.90305,1.44723
4.91045,1.46031
4.91786,1.4155
4.92527,1.41653
4.93267,1.47296
4.94008,1.44764
4.94749,1.49707
4.95489,1.47851
4.96230,1.46032
4.96971,1.47046
