sol,planetocentric_latitude,planetodetic_latitude,longitude,elevation
38,-4.590221266,-4.64450116,137.443153381,-4504.266
38,-4.590222383,-4.64450229,137.443159924,-4504.29
38,-4.590223568,-4.644503489,137.443166461,-4504.308
38,-4.590224628,-4.644504561,137.443173026,-4504.311
38,-4.590225441,-4.644505384,137.443179626,-4504.308
38,-4.590226433,-4.644506387,137.443186202,-4504.308
38,-4.59022746,-4.644507426,137.443192772,-4504.311
38,-4.590228466,-4.644508444,137.443199345,-4504.316
38,-4.59022952,-4.64450951,137.443205904,-4504.334
38,-4.590230431,-4.644510432,137.443212472,-4504.365
38,-4.59023134,-4.644511352,137.443219028,-4504.404
38,-4.59023227,-4.644512293,137.443225583,-4504.441
38,-4.590233109,-4.644513142,137.443232168,-4504.465
38,-4.590233981,-4.644514024,137.443238759,-4504.477
38,-4.590235022,-4.644515078,137.443245325,-4504.487
38,-4.590236068,-4.644516136,137.443251888,-4504.502
38,-4.59023712,-4.6445172,137.443258445,-4504.524
38,-4.590238187,-4.644518279,137.443265,-4504.546
38,-4.590239257,-4.644519362,137.443271558,-4504.561
38,-4.590240215,-4.644520331,137.443278133,-4504.579
38,-4.590241044,-4.64452117,137.443284657,-4504.591
38,-4.5902435,-4.644523654,137.443301601,-4504.62
38,-4.5902435,-4.644523654,137.443301601,-4504.62
38,-4.5902435,-4.644523654,137.443301601,-4504.62
38,-4.5902435,-4.644523654,137.443301601,-4504.62
39,-4.5902435,-4.644523654,137.443301601,-4504.62
39,-4.59027804,-4.644558599,137.443373412,-4504.633
39,-4.59029327,-4.644574008,137.443422935,-4504.639
39,-4.590299361,-4.644580171,137.443457041,-4504.591
39,-4.590300707,-4.644581532,137.443465034,-4504.585
39,-4.59032496,-4.644606069,137.443592535,-4504.712
39,-4.590326524,-4.644607651,137.443601054,-4504.718
39,-4.590326524,-4.644607651,137.443601054,-4504.718
39,-4.590318489,-4.644599523,137.443663256,-4504.7
39,-4.590318489,-4.644599523,137.443663256,-4504.7
39,-4.590318489,-4.644599523,137.443663256,-4504.7
40,-4.590318489,-4.644599523,137.443663256,-4504.7
40,-4.59031475,-4.64459574,137.443670225,-4504.711
40,-4.590310958,-4.644591904,137.443677162,-4504.728
40,-4.590307129,-4.644588029,137.44368408,-4504.742
40,-4.590303249,-4.644584104,137.443690971,-4504.756
40,-4.590299367,-4.644580177,137.443697861,-4504.769
40,-4.590295512,-4.644576276,137.443704766,-4504.78
40,-4.590291677,-4.644572396,137.443711683,-4504.791
40,-4.590287836,-4.64456851,137.443718596,-4504.803
40,-4.590284037,-4.644564666,137.443725532,-4504.816
40,-4.590280237,-4.644560822,137.443732469,-4504.825
40,-4.590276423,-4.644556964,137.443739399,-4504.829
40,-4.590272589,-4.644553084,137.443746319,-4504.83
40,-4.59026874,-4.644549191,137.44375323,-4504.827
40,-4.590264849,-4.644545254,137.443760116,-4504.818
40,-4.590260935,-4.644541294,137.443766989,-4504.809
40,-4.590257088,-4.644537402,137.443773902,-4504.812
40,-4.590253189,-4.644533457,137.443780785,-4504.812
40,-4.590249271,-4.644529493,137.443787657,-4504.807
40,-4.590245333,-4.644525509,137.443794513,-4504.791
40,-4.590241653,-4.644521786,137.443800965,-4504.771
40,-4.590237987,-4.644518077,137.443807232,-4504.754
40,-4.590234144,-4.644514189,137.443814126,-4504.744
40,-4.590230325,-4.644510325,137.443821053,-4504.742
40,-4.590226513,-4.644506468,137.443827985,-4504.74
40,-4.590222725,-4.644502636,137.44383493,-4504.736
40,-4.590219012,-4.64449888,137.443841915,-4504.73
40,-4.590215322,-4.644495146,137.443848912,-4504.729
40,-4.590211714,-4.644491496,137.44385595,-4504.74
40,-4.590208041,-4.64448778,137.443862946,-4504.762
40,-4.590204169,-4.644483863,137.443869834,-4504.785
40,-4.590200206,-4.644479853,137.443876671,-4504.806
40,-4.590196345,-4.644475947,137.443883574,-4504.815
40,-4.590192666,-4.644472224,137.443890578,-4504.814
40,-4.590189013,-4.644468529,137.443897594,-4504.81
40,-4.590185336,-4.644464809,137.443904599,-4504.809
40,-4.590181724,-4.644461155,137.443911637,-4504.809
40,-4.590177998,-4.644457385,137.443918614,-4504.812
40,-4.590174124,-4.644453465,137.443925511,-4504.809
40,-4.590170177,-4.644449472,137.443932366,-4504.802
40,-4.590166334,-4.644445584,137.44393928,-4504.798
40,-4.590162872,-4.644442081,137.443945874,-4504.808
40,-4.590159199,-4.644438365,137.4439528,-4504.814
40,-4.59015552,-4.644434644,137.443959774,-4504.837
40,-4.590151868,-4.644430948,137.443966787,-4504.85
40,-4.5901482,-4.644427238,137.443973796,-4504.856
40,-4.590144548,-4.644423542,137.443980812,-4504.865
40,-4.590140748,-4.644419698,137.443987744,-4504.881
40,-4.590136778,-4.644415682,137.443994582,-4504.897
40,-4.590132974,-4.644411833,137.444001516,-4504.908
40,-4.590129251,-4.644408066,137.444008493,-4504.914
40,-4.590125335,-4.644404104,137.444015367,-4504.913
40,-4.590121395,-4.644400118,137.444022224,-4504.901
40,-4.59011746,-4.644396137,137.444029076,-4504.878
40,-4.590113535,-4.644392166,137.444035921,-4504.844
40,-4.590109615,-4.6443882,137.444042769,-4504.811
40,-4.590105703,-4.644384243,137.444049636,-4504.79
40,-4.590101822,-4.644380316,137.444056523,-4504.774
40,-4.590097991,-4.64437644,137.444063433,-4504.751
40,-4.59009417,-4.644372574,137.444070348,-4504.726
40,-4.590090344,-4.644368703,137.444077254,-4504.697
40,-4.590086503,-4.644364817,137.444084155,-4504.67
40,-4.59008289,-4.644361162,137.444090663,-4504.651
40,-4.590079143,-4.644357371,137.44409741,-4504.634
40,-4.590075317,-4.6443535,137.44410431,-4504.618
40,-4.590071492,-4.64434963,137.444111229,-4504.601
40,-4.590067726,-4.64434582,137.444118169,-4504.573
40,-4.590063947,-4.644341997,137.444125102,-4504.545
40,-4.59006012,-4.644338125,137.444132012,-4504.519
40,-4.590056311,-4.644334271,137.444138937,-4504.498
40,-4.590052599,-4.644330516,137.444145913,-4504.476
40,-4.59004896,-4.644326834,137.444152935,-4504.464
40,-4.590036464,-4.644314191,137.444177658,-4504.45
40,-4.590036464,-4.644314191,137.444177658,-4504.45
40,-4.590036464,-4.644314191,137.444177658,-4504.45
41,-4.590036464,-4.644314191,137.444177658,-4504.45
41,-4.59003292,-4.644310606,137.444185183,-4504.456
41,-4.590029412,-4.644307057,137.444192724,-4504.462
41,-4.59002586,-4.644303463,137.444200245,-4504.468
41,-4.590022309,-4.644299871,137.444207766,-4504.475
41,-4.590018755,-4.644296276,137.444215284,-4504.487
41,-4.590015179,-4.644292657,137.44422279,-4504.503
41,-4.590011611,-4.644289047,137.444230297,-4504.522
41,-4.590008038,-4.644285432,137.444237801,-4504.542
41,-4.590004473,-4.644281825,137.444245309,-4504.562
41,-4.59000091,-4.644278221,137.444252813,-4504.588
41,-4.58999738,-4.64427465,137.444260333,-4504.614
41,-4.589993861,-4.644271089,137.444267864,-4504.631
41,-4.589990384,-4.644267571,137.444275419,-4504.637
41,-4.589986946,-4.644264093,137.444282993,-4504.634
41,-4.589983537,-4.644260645,137.44429058,-4504.627
41,-4.589980049,-4.644257115,137.444298131,-4504.625
41,-4.589976515,-4.64425354,137.444305661,-4504.625
41,-4.589973006,-4.64424999,137.444313203,-4504.627
41,-4.589969528,-4.644246471,137.444320759,-4504.629
41,-4.589966301,-4.644243206,137.444327873,-4504.627
41,-4.589962991,-4.644239858,137.444335154,-4504.642
41,-4.589959601,-4.644236428,137.444342729,-4504.652
41,-4.589956248,-4.644233036,137.444350338,-4504.664
41,-4.589952725,-4.644229471,137.444357872,-4504.668
41,-4.589949051,-4.644225754,137.444365334,-4504.675
41,-4.589945382,-4.644222042,137.444372797,-4504.684
41,-4.589941782,-4.6442184,137.444380296,-4504.687
41,-4.589938282,-4.644214858,137.444387842,-4504.689
41,-4.589934777,-4.644211313,137.444395386,-4504.692
41,-4.589931237,-4.644207731,137.444402912,-4504.699
41,-4.589927689,-4.644204141,137.444410435,-4504.704
41,-4.589924127,-4.644200538,137.444417952,-4504.709
41,-4.589920591,-4.644196961,137.444425481,-4504.711
41,-4.589917127,-4.644193456,137.444433044,-4504.709
41,-4.589913696,-4.644189984,137.444440621,-4504.712
41,-4.589910275,-4.644186523,137.444448203,-4504.714
41,-4.589906845,-4.644183053,137.444455781,-4504.719
41,-4.589903418,-4.644179586,137.444463359,-4504.726
41,-4.589900043,-4.644176171,137.444470961,-4504.732
41,-4.589896522,-4.644172609,137.444478496,-4504.734
41,-4.589893033,-4.64416908,137.444485491,-4504.734
41,-4.58988937,-4.644165373,137.444492711,-4504.74
41,-4.589885671,-4.644161631,137.444500141,-4504.741
41,-4.589881985,-4.644157902,137.444507597,-4504.745
41,-4.58987827,-4.644154144,137.444515038,-4504.755
41,-4.589874581,-4.644150411,137.444522488,-4504.772
41,-4.58987106,-4.644146849,137.444530014,-4504.795
41,-4.589867541,-4.644143289,137.444537545,-4504.812
41,-4.589864013,-4.644139719,137.444545072,-4504.828
41,-4.589860495,-4.644136159,137.444552605,-4504.842
41,-4.589846619,-4.644122121,137.444580933,-4504.88
41,-4.589846619,-4.644122121,137.444580933,-4504.88
41,-4.589846619,-4.644122121,137.444580933,-4504.88
42,-4.589846619,-4.644122121,137.444580933,-4504.88
42,-4.589847476,-4.644122988,137.444589245,-4504.894
42,-4.589848314,-4.644123836,137.444597557,-4504.912
42,-4.589849091,-4.644124622,137.444605872,-4504.933
42,-4.589849842,-4.644125383,137.44461419,-4504.954
42,-4.589850632,-4.644126181,137.444622506,-4504.973
42,-4.589851389,-4.644126947,137.444630825,-4504.993
42,-4.589852107,-4.644127674,137.444639142,-4505.019
42,-4.589852858,-4.644128433,137.444647455,-4505.047
42,-4.589853591,-4.644129175,137.444655765,-4505.079
42,-4.589854294,-4.644129887,137.444664075,-4505.113
42,-4.589854949,-4.644130549,137.444672388,-4505.149
42,-4.589855746,-4.644131355,137.444680684,-4505.187
42,-4.589856819,-4.644132441,137.444688943,-4505.23
42,-4.589857747,-4.64413338,137.444697221,-4505.271
42,-4.589858407,-4.644134048,137.444705518,-4505.317
42,-4.589859211,-4.644134861,137.444713806,-4505.361
42,-4.589860133,-4.644135793,137.444722079,-4505.407
42,-4.589861002,-4.644136673,137.444730356,-4505.454
42,-4.589861871,-4.644137553,137.444738635,-4505.499
42,-4.589862735,-4.644138426,137.444746409,-4505.54
42,-4.589863519,-4.64413922,137.444754425,-4505.589
42,-4.589864499,-4.644140211,137.444762666,-4505.639
42,-4.589865297,-4.644141018,137.444770945,-4505.688
42,-4.58986599,-4.644141719,137.444779222,-4505.744
42,-4.589866864,-4.644142604,137.444787473,-4505.804
42,-4.589867764,-4.644143514,137.444795735,-4505.858
42,-4.589868715,-4.644144476,137.444804001,-4505.906
42,-4.589869534,-4.644145305,137.444812283,-4505.952
42,-4.589870122,-4.6441459,137.444820582,-4506.0
42,-4.58987067,-4.644146454,137.444828881,-4506.05
42,-4.589871354,-4.644147146,137.444837171,-4506.099
42,-4.589872266,-4.644148069,137.444845438,-4506.149
42,-4.589872266,-4.644148069,137.444845438,-4506.149
42,-4.589877561,-4.644153426,137.444851863,-4506.194
42,-4.589882884,-4.644158811,137.44485827,-4506.236
42,-4.589888207,-4.644164197,137.444864694,-4506.268
42,-4.589893533,-4.644169585,137.444871124,-4506.293
42,-4.589898893,-4.644175008,137.44487753,-4506.312
42,-4.58990425,-4.644180428,137.444883934,-4506.336
42,-4.589909607,-4.644185848,137.444890336,-4506.363
42,-4.589914828,-4.64419113,137.444896746,-4506.404
42,-4.589920131,-4.644196495,137.444903168,-4506.433
42,-4.58992539,-4.644201816,137.444909625,-4506.461
42,-4.58993067,-4.644207158,137.444916096,-4506.484
42,-4.589935951,-4.6442125,137.444922564,-4506.507
42,-4.589941214,-4.644217826,137.444929043,-4506.534
42,-4.589946457,-4.64422313,137.444935535,-4506.564
42,-4.589951752,-4.644228486,137.444941975,-4506.6
42,-4.58995707,-4.644233867,137.444948399,-4506.634
42,-4.589962357,-4.644239216,137.444954852,-4506.666
42,-4.589967632,-4.644244552,137.44496131,-4506.702
42,-4.589972897,-4.64424988,137.444967768,-4506.741
42,-4.589978152,-4.644255197,137.44497423,-4506.783
42,-4.589983381,-4.644260486,137.444980722,-4506.821
42,-4.589988607,-4.644265773,137.444987219,-4506.857
42,-4.589993989,-4.644271219,137.444993597,-4506.886
42,-4.5899995,-4.644276794,137.444999865,-4506.914
42,-4.590005029,-4.644282388,137.445006116,-4506.942
42,-4.590010448,-4.644287871,137.445012459,-4506.974
42,-4.59001576,-4.644293245,137.445018894,-4507.004
42,-4.590020878,-4.644298423,137.445024868,-4507.036
42,-4.590020878,-4.644298423,137.445024868,-4507.036
42,-4.590041643,-4.644319431,137.445050897,-4507.18
42,-4.590041643,-4.644319431,137.445050897,-4507.18
42,-4.590041643,-4.644319431,137.445050897,-4507.18
43,-4.590041643,-4.644319431,137.445050897,-4507.18
43,-4.590048899,-4.644326772,137.445055247,-4507.201
43,-4.590056185,-4.644334144,137.445059551,-4507.22
43,-4.590063515,-4.64434156,137.445063784,-4507.234
43,-4.590070866,-4.644348997,137.445067982,-4507.248
43,-4.590078206,-4.644356423,137.445072199,-4507.26
43,-4.590085518,-4.644363821,137.44507646,-4507.276
43,-4.590092833,-4.644371221,137.445080718,-4507.291
43,-4.590100139,-4.644378613,137.445084992,-4507.307
43,-4.590107461,-4.644386021,137.44508924,-4507.319
43,-4.590114786,-4.644393432,137.445093481,-4507.333
43,-4.590122104,-4.644400836,137.445097736,-4507.346
